SUBJECT.NAME	Biochem.Albumin	Biochem.ALP	Biochem.ALT	Biochem.AST	Biochem.Calcium	Biochem.Chloride	Biochem.Creatinine	Biochem.Glucose	Biochem.HDL	Biochem.LDL	Biochem.Phosphorous	Biochem.Potassium	Biochem.Sodium	Biochem.Tot.Cholesterol	Biochem.Tot.Protein	Biochem.Triglycerides	Biochem.Urea	EndNormalBW	Date.StudyDay	Date.Season	Date.Month	Date.Year	Family	GENDER	Age	CageDensity	Litter
A048034381	30.8	141	21	69	2.07	107	23	8.57	NA	NA	NA	7.3	140	NA	45.1	NA	7	20	NA	NA	NA	NA	E3.2:H4.1(5) E3.2:D2.1(4)	F	64	6	1
A048034836	27.8	118	35	119	2.28	98	NA	10.47	2.11	0.53	2.64	NA	134	3.45	50.4	0.47	NA	23.7	NA	NA	NA	NA	C3.2:F5.1(1) C3.2:B2.1(5)	M	64	5	2
A048035291	NA	NA	NA	NA	NA	112	NA	7.95	NA	NA	2.45	NA	145	NA	NA	NA	5.2	21.3	103	spring	5	2003	B2.2:E1.1(6) B2.2:A2.1(5)	F	73	3	2
A048035543	29.3	182	86	361	2.21	103	27	13.86	2.14	0.5	NA	8.8	138	3.22	50.2	1.1	8.5	24.5	116	spring	5	2003	A5.2:D2.1(5) A5.2:H4.1(5)	M	72	4	2
A048035553	28.5	104	26	133	2.13	99	17	11.73	1.71	0.39	2.59	NA	135	2.64	41.7	0.31	6.2	19.1	NA	NA	NA	NA	G4.3:B5.2(3) G4.3:F2.2(3)	F	74	4	3
A048035776	33.1	156	46	252	2.2	106	20	6.1	1.69	0.37	3.18	NA	137	2.66	54.7	0.37	7.9	20.3	117	spring	5	2003	E1.3:H1.2(3) E1.3:D1.2(3)	F	73	4	1
A048036063	29.6	93	81	130	2.15	101	NA	5	1.51	NA	2.72	NA	133	4.21	56.1	0.46	5.9	21.9	137	summer	6	2003	H2.3:C5.2(3) H2.3:G2.2(3)	M	65	3	2
A048036259	36.3	159	22	131	2.58	111	27	6.75	2.27	0.4	2.05	5.6	150	3	51.5	0.45	7.4	21.2	103	spring	5	2003	H2.2:C3.1(4) H2.2:G3.1(3)	F	74	4	3
A048037297	28.8	147	30	162	2.12	100	21	11.92	1.94	0.36	2.72	NA	131	3.38	47.9	0.43	10.1	18.9	NA	NA	NA	NA	E5.2:H5.1(4) E5.2:D4.1(4)	M	63	7	1
A048038018	35.3	146	26	88	2.58	111	21	12.07	1.82	0.32	2.25	7	146	2.4	51.4	0.41	9.1	23.4	NA	NA	NA	NA	F3.2:A2.1(5) F3.2:E4.1(5)	F	60	4	1
A048039054	29.2	114	23	171	2.32	108	20	13.1	2.06	0.5	2.56	7.4	142	3.03	46.4	0.65	7.3	23.3	NA	NA	NA	NA	F2.2:A1.1(4) F2.2:E2.1(5)	M	66	4	3
A048039828	29.8	94	39	105	2.19	103	22	12.09	1.99	0.31	2.37	NA	137	2.79	46	0.4	7.2	20.1	NA	NA	NA	NA	E3.2:H4.1(5) E3.2:D2.1(4)	F	64	6	1
A048040045	31.6	106	34	264	1.78	91	NA	3.68	1.01	0.25	2.83	NA	120	2.65	50.3	0.12	9.1	17.3	124	spring	5	2003	C2.3:F2.2(3) C2.3:B2.2(3)	F	64	5	1
A048040059	28.8	167	92	NA	2.02	111	24	9.09	0.95	0.34	2.72	6.5	145	1.42	NA	0.38	11.2	22.8	110	spring	5	2003	H3.2:C3.1(4) H3.2:G4.1(3)	F	72	4	3
A048040526	28.1	139	24	106	2.1	101	17	9.77	1.14	0.49	2.61	NA	136	2.12	47.5	0.18	7.3	19.9	138	summer	6	2003	B2.3:E3.2(3) B2.3:A4.2(3)	F	66	6	1
A048041122	26.5	122	26	146	2.02	95	20	10.89	1.22	0.35	2.27	NA	130	2.09	44.1	0.49	9.4	19.1	NA	NA	NA	NA	G5.2:B5.1(4) G5.2:F5.1(2)	F	63	6	1
A048041284	27.9	207	18	50	2.12	104	28	12.57	2.43	0.45	2.22	9.1	139	3.24	47.8	0.88	9.7	26	NA	NA	NA	NA	H4.2:C5.1(4) H4.2:G1.1(7)	M	61	6	1
A048042578	30.7	133	34	124	2.06	96	22	12.04	2.62	0.45	1.98	NA	127	4.14	53.9	0.88	5.7	26.5	124	spring	5	2003	F3.2:A2.1(5) F3.2:E4.1(5)	M	66	5	2
A048042626	33.2	148	36	190	2.01	91	NA	6.44	NA	0.21	3.4	NA	125	2.43	54.6	0.34	7.5	19.8	138	summer	6	2003	E2.3:H2.2(3) E2.3:D4.2(2)	F	68	5	2
A048042802	31.4	135	38	147	NA	114	22	12.56	1.92	0.34	2.45	5.6	151	2.63	48.2	0.73	7.6	14.4	NA	NA	NA	NA	B5.2:E5.1(4) B5.2:A1.1(4)	F	60	4	2
A048042870	31.5	162	37	150	2.26	102	17	11.76	2.57	0.4	2.77	NA	139	3.82	52.6	0.72	7.7	26.3	NA	NA	NA	NA	A3.2:D2.1(5) A3.2:H4.1(5)	M	66	4	2
A048043525	28.2	127	23	100	2.36	111	27	5.87	2.35	NA	2.7	8.1	145	4.92	45.4	0.38	9.6	22.5	NA	NA	NA	NA	E5.2:H5.1(4) E5.2:D4.1(4)	F	63	7	1
A048043551	32.5	181	23	91	2.35	110	21	7.98	1.82	0.69	2.05	7.5	145	2.87	49.3	0.33	7.5	20.7	NA	NA	NA	NA	E5.2:H5.1(4) E5.2:D4.1(4)	F	63	7	1
A048043833	27.9	73	34	76	2.28	104	22	NA	2.05	0.39	2.2	7.8	140	2.94	46.3	0.77	9.4	27	NA	NA	NA	NA	D4.2:G1.1(6) D4.2:C1.1(7)	M	64	4	2
A048044830	29.2	163	30	104	2.16	105	25	10.11	1.5	0.69	2.12	NA	138	2.7	46.8	0.36	11.5	17.7	NA	NA	NA	NA	A2.2:D1.1(4) A2.2:H5.1(4)	F	65	7	1
A048045018	29.5	179	22	56	2.54	109	19	14.16	2.07	0.5	2.69	7.3	148	3.07	49.9	0.99	8.3	29.1	NA	NA	NA	NA	A5.2:D2.1(5) A5.2:H4.1(5)	M	65	4	1
A048047040	31.4	190	43	79	2.48	108	22	NA	1.93	0.47	2.15	6.8	144	2.81	48.1	0.51	9	19.9	NA	NA	NA	NA	F1.3:A1.2(3) F1.3:E2.2(3)	F	66	6	1
A048047094	33.9	149	34	158	2.22	105	18	9.3	1.7	0.42	2.28	NA	138	2.69	52	0.47	8.3	18.9	NA	NA	NA	NA	A3.2:D2.1(5) A3.2:H4.1(5)	F	67	6	2
A048047120	27.9	144	28	97	2.15	99	22	13.43	1.26	0.43	2.24	7.4	138	2.08	46.6	0.45	7	18.9	NA	NA	NA	NA	G3.2:B5.1(4) G3.2:F5.1(2)	F	63	4	1
A048047298	29.9	127	83	110	2.11	94	20	NA	1.61	0.39	2.97	NA	129	3.02	39.3	0.45	5.5	18.5	130	spring	5	2003	F5.2:A1.1(4) F5.2:E2.1(5)	M	67	4	2
A048047780	32.3	130	28	173	2.01	98	NA	8.26	1.97	0.41	2.44	NA	130	3.73	54.4	NA	6.9	17.7	145	summer	6	2003	H5.2:C1.1(5) H5.2:G1.1(7)	F	68	6	3
A048048117	22.4	67	90	213	2.04	97	18	8.4	1.59	NA	2.04	NA	131	3.46	45.6	0.27	12.3	28.4	123	spring	5	2003	G3.3:B1.2(4) G3.3:F1.2(4)	M	64	2	1
A048048118	31.9	120	34	236	1.8	90	NA	4.19	1.14	0.24	2.89	NA	119	2.99	50.6	NA	7.8	22.1	124	spring	5	2003	C2.3:F2.2(3) C2.3:B2.2(3)	F	64	5	1
A048048837	31.4	148	36	89	2.46	114	25	12.56	1.88	0.45	2.56	7	149	2.6	51.5	0.48	6.8	17.9	NA	NA	NA	NA	D2.2:G5.1(4) D2.2:C5.1(4)	F	65	5	1
A048048863	28.3	222	24	73	2.11	106	26	12.28	1.15	0.65	NA	6.8	134	2.05	43.5	0.42	10.4	17.7	NA	NA	NA	NA	A2.2:D1.1(4) A2.2:H5.1(4)	F	65	7	1
A048049553	33.8	94	26	156	1.91	91	17	7.14	NA	0.37	3.06	NA	121	3.21	39.8	0.3	11.5	21.1	124	spring	5	2003	C2.3:F2.2(3) C2.3:B2.2(3)	F	64	5	1
A048049789	23.6	92	NA	174	2.03	94	20	9.34	1.85	0.65	2.28	NA	130	3.09	45	0.57	9.3	25	NA	NA	NA	NA	C4.2:F3.1(5) C4.2:B5.1(4)	M	60	4	1
A048050779	26.6	140	62	442	1.92	102	18	8.96	1.01	0.49	2.31	NA	131	2.08	NA	0.17	6.6	19.8	110	spring	5	2003	G3.2:B5.1(4) G3.2:F5.1(2)	F	71	4	3
A048050833	30.6	171	49	145	2.42	111	19	6.56	2.46	0.33	2.83	6.9	145	3.21	47.8	0.56	8.6	26.7	NA	NA	NA	NA	A3.2:D2.1(5) A3.2:H4.1(5)	M	66	4	2
A048051064	25.3	112	39	95	2.04	95	20	9.67	1.87	0.39	2.45	NA	130	2.98	36.4	0.34	8	25.4	137	summer	6	2003	B5.2:E5.1(4) B5.2:A1.1(4)	M	67	5	3
A048051824	22.6	104	29	69	1.89	95	18	12.34	1.6	0.3	2.28	NA	128	2.46	42.6	0.62	5.4	29.9	NA	NA	NA	NA	UnknownFather5 C1.2:B2.1(5)	M	64	3	1
A048052595	30.6	126	43	133	2.05	95	20	7.17	1.81	0.37	2.86	NA	130	3.58	55.4	0.41	9.1	25.7	116	spring	5	2003	A5.2:D2.1(5) A5.2:H4.1(5)	M	72	4	2
A048053548	31.6	151	18	91	2.39	110	25	6.79	1.92	0.48	2.67	7.5	144	2.79	52.6	1.08	11.6	22.6	NA	NA	NA	NA	G5.2:B5.1(4) G5.2:F5.1(2)	M	62	5	1
A048053604	33.1	191	31	112	2.58	109	20	9.71	1.74	0.27	2.92	7.5	145	2.37	49.3	0.43	8	20.4	NA	NA	NA	NA	F3.2:A2.1(5) F3.2:E4.1(5)	F	60	4	1
A048053821	29.8	134	33	127	2	96	21	10.89	2.14	0.64	2.4	NA	128	3.49	49.3	0.23	7	19.2	NA	NA	NA	NA	D2.2:G5.1(4) D2.2:C5.1(4)	F	65	5	1
A048053860	28.3	143	36	99	2.15	100	23	12.8	1.3	0.37	NA	NA	134	2.1	47.1	0.46	8.8	17.6	NA	NA	NA	NA	A2.2:D1.1(4) A2.2:H5.1(4)	F	65	7	1
A048054628	32.7	101	26	219	2.33	105	23	10.54	NA	NA	NA	NA	138	NA	46.7	NA	6.9	23	103	spring	5	2003	E2.2:H2.1(2) E2.2:D1.1(6)	F	73	4	1
A048054885	26.9	101	34	73	2.27	108	21	9.86	2.06	0.63	2.24	7.5	142	3.23	47.7	0.42	7.9	28	NA	NA	NA	NA	F1.2:A1.1(4) F1.2:E2.1(5)	F	65	5	1
A048055081	31.7	114	36	250	1.95	94	NA	8.65	1.05	0.3	2.92	NA	127	2.72	51.4	NA	6.9	19.4	NA	NA	NA	NA	C4.2:F3.1(5) C4.2:B5.1(4)	F	65	5	2
A048055527	28.9	115	31	123	2.18	106	20	4.79	NA	NA	2.61	NA	140	2.93	54.2	0.58	11.5	24.6	NA	NA	NA	NA	C2.2:F3.1(5) C2.2:B5.1(4)	M	64	5	1
A048055545	29.6	109	20	86	2.18	101	21	8.45	1.33	0.36	1.83	NA	137	2.06	43.2	0.35	8.1	20.7	NA	NA	NA	NA	G4.3:B5.2(3) G4.3:F2.2(3)	F	74	4	3
