SUBJECT.NAME	Biochem.Albumin	Biochem.ALP	Biochem.ALT	Biochem.AST	Biochem.Calcium	Biochem.Chloride	Biochem.Creatinine	Biochem.Glucose	Biochem.HDL	Biochem.LDL	Biochem.Phosphorous	Biochem.Potassium	Biochem.Sodium	Biochem.Tot.Cholesterol	Biochem.Tot.Protein	Biochem.Triglycerides	Biochem.Urea	EndNormalBW	Date.StudyDay	Date.Season	Date.Month	Date.Year	Family	GENDER	Age	CageDensity	Litter
A063543622	30.4	122	27	75	2.13	99	NA	5.78	2.14	0.42	2.22	NA	139	3.53	51.8	0.9	5.6	25.1	235	autumn	9	2003	E1.4:H1.3(3) E1.4:D2.3(2)	M	64	6	1
A063544780	31.2	174	38	97	2.18	104	17	8.39	1.77	NA	2.24	NA	142	3.38	51.5	0.2	7.9	31.4	235	autumn	9	2003	C4.3:F5.2(4) C4.3:B2.2(4)	M	66	4	2
A063545009	30.3	135	16	82	2.26	100	19	9.75	1.23	NA	2.49	NA	135	2.33	50.1	0.32	7.3	21.8	250	autumn	9	2003	B5.3:E1.2(5) B5.3:A2.2(5)	F	65	4	3
A063545810	31.7	88	11	142	2.1	107	NA	9.72	NA	0.41	2.91	NA	140	3.64	53.8	NA	6.4	25.9	NA	NA	NA	NA	A2.5:D2.4(4) A2.5:H3.4(2)	F	71	6	2
A063545824	29.2	82	44	108	2.18	99	17	11.32	1.74	0.54	2.69	NA	134	3.39	53.8	0.69	8	31.2	459	spring	4	2004	G1.5:B3.4(3) G1.5:F3.4(2)	M	70	4	2
A063546566	27.9	142	28	103	2.21	106	17	12.99	2.1	0.65	2.53	NA	144	3.45	54.1	0.25	9.6	30	NA	NA	NA	NA	C4.4:F3.3(3) C4.4:B3.3(5)	M	70	2	5
A063546594	32.6	155	22	145	2.13	101	17	7.99	1.8	0.31	2.84	NA	137	3	53.9	0.43	6	22	243	autumn	9	2003	H5.3:C2.2(6) H5.3:G5.2(4)	F	64	7	4
A063546872	29.6	90	31	119	1.83	85	18	5.66	1.72	0.42	2.79	NA	119	3.75	51	0.16	9.9	28.6	228	autumn	9	2003	D1.3:G3.2(5) D1.3:C2.2(3)	M	67	5	3
A063547877	29	134	18	96	2.09	107	NA	7.72	1.85	0.45	3.04	NA	141	3.24	54	0.83	10.5	21	NA	NA	NA	NA	E1.5:H1.4(4) E1.5:D3.4(2)	F	71	6	2
A063548317	28.6	97	13	50	2.23	105	23	11.13	1.88	0.26	1.89	NA	141	2.94	51.7	0.3	7.9	26.6	249	autumn	9	2003	B2.4:E3.3(3) B2.4:A1.3(4)	M	64	3	1
A063549863	30	80	NA	385	1.62	82	NA	9.28	1.41	0.5	NA	NA	112	4.27	53.1	0.64	4.9	25.8	473	spring	5	2004	C2.5:F1.4(5) C2.5:B2.4(4)	M	74	4	2
A063550874	28.2	148	29	126	1.94	88	20	6.5	1.13	0.35	3.12	NA	125	2.41	47.7	0.16	10.8	21.6	236	autumn	9	2003	E4.3:H4.2(4) E4.3:D3.2(3)	F	64	2	3
A063551076	30.5	126	31	107	2.13	101	17	8.7	1.84	0.45	3.04	NA	135	3.55	55.5	0.63	7.5	28.8	459	spring	4	2004	G1.5:B3.4(3) G1.5:F3.4(2)	M	70	4	2
A063551096	27.7	54	NA	108	1.53	83	NA	9.44	1.01	0.72	NA	NA	111	3.84	49.6	NA	NA	27.7	473	spring	5	2004	E4.4:H4.3(5) E4.4:D4.3(5)	M	74	5	2
A063551337	28.1	173	20	86	2.31	102	21	11.02	1.63	0.6	2.42	NA	139	3.1	48.6	0.48	8.1	21.8	397	winter	2	2004	F1.4:A2.3(2) F1.4:E1.3(3)	F	68	4	3
A063551369	28.6	108	21	113	2.06	97	NA	10.15	1.71	0.51	2.15	NA	131	3.19	52.4	0.4	10.2	28.5	459	spring	4	2004	B3.5:E4.4(2) B3.5:A3.4(4)	M	68	4	2
A063551600	34.4	103	NA	103	1.98	96	18	NA	1.27	0.49	2.23	NA	127	4.16	58.9	0.13	4.6	26.2	368	winter	1	2004	A3.4:D4.3(2) A3.4:H4.3(2)	M	82	3	2
A063553007	28.2	90	16	87	1.83	92	NA	6.03	1.85	0.39	2.08	NA	123	3.75	50.8	0.35	5.5	28.7	473	spring	5	2004	C2.5:F1.4(5) C2.5:B2.4(4)	M	74	4	2
A063553009	33.5	101	39	145	2.52	106	26	12.95	2.08	0.47	2.07	5.8	143	3.11	55.9	0.5	7	22.4	250	autumn	9	2003	B2.4:E3.3(3) B2.4:A1.3(4)	F	65	4	1
A063554022	27.5	190	20	80	2.08	102	NA	7.75	1.75	0.35	2.47	NA	135	2.86	51.5	0.31	7.6	26.7	NA	NA	NA	NA	H3.5:C5.4(2) H3.5:G1.4(6)	M	71	3	1
A063554583	27.4	136	20	116	2.04	98	17	6.55	0.9	0.31	2.22	NA	131	1.96	46.7	0.31	8.2	21.2	243	autumn	9	2003	D2.4:G3.3(3) D2.4:C2.3(3)	F	64	4	1
A063555126	33.9	210	24	123	2.12	102	NA	8.09	NA	0.31	NA	NA	134	2.67	56.9	0.1	6.5	21.8	376	winter	1	2004	E2.4:H3.3(2) E2.4:D4.3(2)	F	71	6	4
A063555877	30.2	115	25	117	2.13	93	23	6.85	1.85	0.34	2.81	NA	132	3.37	53.7	0.38	9	28.2	242	autumn	9	2003	C5.3:F2.2(5) C5.3:B1.2(5)	M	65	4	2
A063556563	27.6	123	24	103	1.91	99	NA	9.22	1.74	0.38	1.89	NA	128	3.25	51.6	0.26	4.7	31.2	473	spring	5	2004	E4.4:H4.3(5) E4.4:D4.3(5)	M	74	5	2
A063557365	28.8	189	22	112	2.16	99	18	6.4	1.01	0.33	1.87	NA	135	1.78	NA	0.28	9.8	16.2	397	winter	2	2004	A3.4:D4.3(2) A3.4:H4.3(2)	F	64	5	3
A063557573	NA	NA	NA	NA	2.29	106	23	9.65	NA	NA	2.2	NA	144	NA	NA	NA	7.9	20.6	397	winter	2	2004	F1.4:A2.3(2) F1.4:E1.3(3)	F	68	4	3
A063557808	29.7	95	51	200	2.11	94	21	6.41	2.53	0.58	2.5	NA	135	4.19	55.1	0.33	11.1	27.7	242	autumn	9	2003	C5.3:F2.2(5) C5.3:B1.2(5)	M	65	5	2
A063567352	30.8	114	20	248	2.1	100	21	7.3	1.31	0.35	2.91	NA	134	2.63	51	0.13	11.1	20.8	257	autumn	10	2003	H2.3:C5.2(3) H2.3:G2.2(3)	F	67	6	5
A063568001	NA	122	22	89	2.12	101	NA	9.93	1.6	0.35	2.78	NA	138	2.58	43.7	0.63	9.2	30.3	270	autumn	10	2003	UnknownFather9 UnknownMother9	M	65	4	1
A063569370	28.3	189	14	84	2.09	92	17	7.21	1.31	0.39	2.25	NA	127	2.65	50.1	0.17	7.7	22.3	313	autumn	11	2003	B5.3:E1.2(5) B5.3:A2.2(5)	F	64	6	4
A063570285	26.4	151	18	74	2.12	101	20	8.6	1.72	0.25	2.82	NA	138	2.81	48.7	0.6	8.4	28	263	autumn	10	2003	UnknownFather6 UnknownMother6	M	64	3	3
A063571569	24	88	36	149	1.99	94	NA	11.84	1.54	0.44	2.31	NA	130	2.79	46.4	0.93	7.6	33.1	487	spring	5	2004	C3.5:F3.4(3) C3.5:B4.4(2)	M	71	4	1
A063571604	25.8	125	33	102	2.09	96	18	8.49	1.94	0.39	2.77	NA	131	3.24	48.1	0.95	5.8	30.4	431	spring	3	2004	D5.4:G2.3(4) D5.4:C4.3(4)	M	63	4	1
A063572073	29.2	82	18	93	1.86	96	NA	9.1	1.07	0.48	2.24	NA	129	2.56	51.5	0.12	7.4	29.1	467	spring	4	2004	G2.5:B1.4(4) G2.5:F4.4(2)	F	71	4	3
A063572633	30.6	103	11	224	1.75	89	NA	8.05	1.1	0.49	2.52	NA	120	3.26	50.5	NA	8.4	22.6	257	autumn	10	2003	E2.3:H2.2(3) E2.3:D4.2(2)	F	68	6	4
A063573313	25.5	120	17	99	2.02	97	NA	9.07	1.08	0.5	NA	NA	131	2.34	46.9	0.4	8.4	19.4	488	spring	5	2004	A5.4:D4.3(5) A5.4:H1.3(6)	F	72	4	4
A063573555	28.6	120	47	152	2.14	102	23	13	NA	0.38	2.61	NA	143	3.83	53.4	1.33	7	33.9	417	spring	3	2004	A2.5:D2.4(4) A2.5:H3.4(2)	M	66	4	1
A063575272	26.7	119	13	71	2.22	104	20	7.83	1.6	0.69	2.62	NA	139	3.3	50.2	0.46	10.4	28	263	autumn	10	2003	E1.4:H1.3(3) E1.4:D2.3(2)	M	67	4	2
A063575342	27.9	129	27	76	2.18	102	20	10.88	NA	NA	2.42	NA	141	2.01	45.8	NA	10.1	20.8	453	spring	4	2004	A3.5:D2.4(5) A3.5:H3.4(3)	F	73	5	1
A063575518	32.2	128	23	101	2.15	95	22	9.55	2.22	0.56	NA	NA	130	4.51	58.1	0.25	7.5	32.1	389	winter	2	2004	E1.5:H1.4(4) E1.5:D3.4(2)	M	67	4	1
A063575829	27.3	50	34	131	1.97	101	NA	8.44	1.31	0.78	NA	NA	136	3.46	52.6	0.1	6.7	27.5	487	spring	5	2004	B3.5:E4.4(2) B3.5:A3.4(4)	M	71	4	3
A063576534	27.4	96	39	96	2.07	98	21	9.26	1.4	0.44	NA	NA	134	3.07	50.9	0.34	8.2	30.4	494	spring	5	2004	E4.4:H4.3(5) E4.4:D4.3(5)	M	72	4	3
A063577627	28.4	94	53	108	1.98	91	17	8.82	1.2	0.41	2.58	NA	123	2.75	47.7	0.16	5.8	20.4	390	winter	2	2004	E4.4:H4.3(5) E4.4:D4.3(5)	F	67	4	1
A063578568	NA	138	20	51	1.97	91	22	8.73	1.6	0.42	1.77	7	128	2.47	42.1	1.15	6.7	27.8	424	spring	3	2004	C1.5:F2.4(3) C1.5:B1.4(3)	M	60	6	2
A063578615	26.4	160	26	89	2.04	93	19	6.51	1.75	0.43	NA	NA	131	2.79	49.3	0.2	7.2	27.2	424	spring	3	2004	A3.4:D4.3(2) A3.4:H4.3(2)	M	62	3	4
A063580838	30.5	88	21	356	1.8	93	NA	7.45	1.06	0.28	3.02	NA	125	2.86	48.7	NA	7.9	18.3	257	autumn	10	2003	F3.3:A2.2(5) F3.3:E1.2(4)	F	67	4	3
A063583848	29.5	120	22	71	2.18	99	21	9.74	1.68	0.48	2.4	NA	135	3.39	54.2	0.95	7.2	25.8	264	autumn	10	2003	A1.4:D2.3(2) A1.4:H1.3(2)	M	65	5	2
A063584892	30.1	126	28	120	2.08	92	19	7.33	NA	0.35	3.5	NA	125	3.4	54.6	0.41	6.9	27.7	411	spring	3	2004	F1.5:A1.4(5) F1.5:E2.4(3)	M	66	4	1
A063599376	28.6	223	26	106	1.99	93	20	8.91	2.69	0.49	2.57	NA	128	4.46	53	0.25	7.2	27	417	spring	3	2004	G3.4:B5.3(3) G3.4:F4.3(3)	M	62	4	2
A063600005	31.4	203	25	114	1.97	90	NA	6.95	1.28	0.47	3.26	NA	124	2.77	54.7	0.32	9	19.9	488	spring	5	2004	H1.5:C4.4(1) H1.5:G2.4(3)	F	71	3	2
A063602575	31.4	142	21	120	2.14	100	NA	5.27	1.19	0.4	2.63	NA	135	2.27	50.6	0.34	5.8	22	488	spring	5	2004	B3.5:E4.4(2) B3.5:A3.4(4)	F	72	5	3
A063604338	32.1	97	21	160	1.92	97	NA	5.53	1.19	0.38	NA	NA	129	3.4	52.7	NA	6.4	20.6	453	spring	4	2004	A3.5:D2.4(5) A3.5:H3.4(3)	F	73	5	1
A063604368	23.4	147	NA	86	1.83	88	NA	10.04	0.93	0.38	2.15	NA	121	2.1	42.7	0.39	7.8	20	439	spring	4	2004	A5.4:D4.3(5) A5.4:H1.3(6)	F	64	6	3
A063604629	31.4	55	25	115	2.04	95	17	9.08	1.22	0.56	2.37	NA	131	3.25	51.9	0.22	9.3	21.9	453	spring	4	2004	A3.5:D2.4(5) A3.5:H3.4(3)	F	73	5	1
A063604816	29.1	130	13	77	2.18	99	22	11.99	1.69	0.41	NA	NA	134	3.19	53.2	0.42	7.4	26.6	270	autumn	10	2003	H2.4:C1.3(3) H2.4:G2.3(2)	M	64	4	1
A063604845	27.7	195	67	402	1.91	103	NA	5.23	0.91	0.44	3.21	NA	134	1.91	44	0.53	11.7	19.4	488	spring	5	2004	H1.5:C4.4(1) H1.5:G2.4(3)	F	71	3	2
A063605029	32.5	166	31	128	2.1	91	NA	NA	1.21	0.65	NA	NA	125	3.33	54.1	0.24	7.8	23	432	spring	3	2004	E5.4:H3.3(6) E5.4:D3.3(6)	F	62	3	3
A063605347	27.8	155	17	99	2.02	95	17	7.17	1.75	0.61	1.8	NA	132	3.29	52	0.21	7.4	26.7	424	spring	3	2004	A3.4:D4.3(2) A3.4:H4.3(2)	M	62	3	4
A063605367	32.7	121	25	272	1.8	94	NA	5.23	1.16	0.57	2.32	NA	124	3.76	53.8	NA	10.1	20.9	257	autumn	10	2003	F3.3:A2.2(5) F3.3:E1.2(4)	F	67	4	3
A063608034	29.4	106	26	73	2.29	107	23	10.21	NA	0.47	3.13	NA	149	3.71	54.7	1.25	7.8	35	417	spring	3	2004	A2.5:D2.4(4) A2.5:H3.4(2)	M	66	4	1
A063608810	NA	162	26	NA	1.85	93	NA	8.22	NA	NA	2.68	NA	125	NA	48.7	NA	5.1	18	432	spring	3	2004	B1.5:E1.4(4) B1.5:A1.4(5)	F	62	6	2
A063609043	32.8	68	NA	NA	1.67	83	NA	5.04	0.81	0.61	2.87	NA	113	4.27	51.7	NA	5	22.7	390	winter	2	2004	H3.4:C2.3(4) H3.4:G3.3(4)	F	65	5	2
A063609335	29.4	102	14	88	2.19	97	22	11.97	1.51	0.43	2.96	NA	137	3.06	51.6	0.79	8.8	26.5	263	autumn	10	2003	G4.3:B5.2(3) G4.3:F2.2(3)	M	64	4	6
A063610105	27.2	136	35	159	1.98	96	22	10.09	NA	0.38	2.5	NA	134	3.47	52.6	0.14	8.7	27.1	417	spring	3	2004	D3.5:G4.4(2) D3.5:C4.4(3)	M	65	4	1
A063610310	28.5	130	28	60	2.11	92	18	12.56	2.6	0.39	2.59	NA	134	3.62	50.6	0.44	7.3	28.5	439	spring	4	2004	F4.4:A4.3(5) F4.4:E5.3(4)	M	63	4	3
A063610516	26.9	95	12	78	2.09	96	NA	13.65	1.17	0.35	2.98	NA	133	2.58	48.4	1.14	7.4	24.4	263	autumn	10	2003	D4.3:G3.2(4) D4.3:C1.2(5)	M	64	5	4
A063610561	32.9	192	20	126	2.16	96	19	12.01	1.18	0.58	2.48	NA	131	2.89	51.1	0.34	9.3	21.7	264	autumn	10	2003	H1.4:C2.3(2) H1.4:G1.3(2)	F	65	4	2
A063610617	27.6	147	29	91	2.09	104	NA	6.99	1.82	0.33	2.66	NA	139	2.87	49.2	0.37	8.6	28.6	466	spring	4	2004	C4.5:F4.4(3) C4.5:B5.4(2)	M	70	4	1
A063611041	28	56	18	116	1.99	96	17	6.07	1.53	0.47	3.57	NA	128	3.74	52.7	0.32	8	29.7	263	autumn	10	2003	C3.3:F2.2(5) C3.3:B2.2(3)	M	64	3	3
A063611105	31.6	199	18	122	1.95	90	NA	7.3	0.86	0.42	3.15	NA	125	3.01	55	NA	6.8	21.8	390	winter	2	2004	E2.4:H3.3(2) E2.4:D4.3(2)	F	64	4	5
A063611117	29.2	126	18	70	2.12	101	NA	11.61	1.14	0.31	NA	NA	134	2	48.2	0.24	6	21.3	488	spring	5	2004	A4.4:D3.3(4) A4.4:H2.3(3)	F	72	4	3
A063611258	27.9	86	NA	334	2.16	107	22	7.4	2.46	0.43	2.48	NA	127	3.75	51.8	0.33	7.7	24.7	256	autumn	10	2003	F3.3:A2.2(5) F3.3:E1.2(4)	M	66	6	3
A063611301	30.7	148	31	77	2.34	105	23	8.98	1.5	0.34	2.57	6	143	2.28	50.2	0.38	11.9	24.3	418	spring	3	2004	H3.4:C2.3(4) H3.4:G3.3(4)	F	66	4	3
A063612068	27	136	32	199	2.05	99	20	8.29	1.92	0.28	2.53	NA	137	3.07	48.5	0.16	11	24.8	256	autumn	10	2003	E2.3:H2.2(3) E2.3:D4.2(2)	M	67	4	4
A063612603	27.6	224	15	109	1.9	88	NA	7.35	NA	NA	NA	NA	124	2.6	45.9	NA	9.4	15.3	411	spring	3	2004	E5.4:H3.3(6) E5.4:D3.3(6)	F	67	6	2
A063612773	26.1	221	25	88	1.85	89	20	7.04	2.04	0.43	2.62	NA	122	3.84	49.1	NA	9.3	25.2	417	spring	3	2004	G3.4:B5.3(3) G3.4:F4.3(3)	M	62	4	2
A063613325	26.9	131	32	121	1.84	88	17	6.05	1.5	0.39	3.13	NA	119	3.11	49	0.42	6.3	22.7	424	spring	3	2004	C4.4:F3.3(3) C4.4:B3.3(5)	M	63	6	4
A063613839	27	127	17	91	1.95	90	18	7.84	NA	0.44	2.7	NA	125	3.52	51.8	0.33	7.4	26.9	417	spring	3	2004	D3.5:G4.4(2) D3.5:C4.4(3)	M	65	4	1
A063614105	29.7	51	16	103	2.09	96	NA	8.68	NA	0.31	NA	NA	130	2.59	48.2	0.4	9.2	21.8	453	spring	4	2004	H3.4:C2.3(4) H3.4:G3.3(4)	F	72	3	4
A063614623	29.6	119	18	114	1.89	92	19	10.97	1.48	0.45	2.8	NA	126	3.45	53.9	0.43	6.9	25.1	411	spring	3	2004	A4.4:D3.3(4) A4.4:H2.3(3)	M	66	4	2
A063614772	31.8	162	16	113	1.99	88	18	10.16	0.79	0.48	2.62	NA	125	2.72	51.7	NA	6.1	21.1	411	spring	3	2004	H2.4:C1.3(3) H2.4:G2.3(2)	F	66	6	5
A063615105	32	130	19	151	1.86	87	17	11.27	0.89	0.46	2.05	NA	121	3.32	51.8	NA	5.2	21.7	383	winter	2	2004	A4.4:D3.3(4) A4.4:H2.3(3)	F	64	3	1
A063615826	27.7	150	38	132	1.96	95	19	8.21	NA	0.36	2.6	NA	133	2.94	50.2	0.1	8.7	26.7	417	spring	3	2004	B3.5:E4.4(2) B3.5:A3.4(4)	M	63	4	1
A063618331	29.1	104	13	79	1.93	94	NA	8.28	1.3	0.46	1.79	NA	127	2.7	49.6	0.11	6.6	22.6	460	spring	4	2004	G1.5:B3.4(3) G1.5:F3.4(2)	F	71	5	2
A063618334	29	123	29	245	1.88	87	NA	5.31	1.29	0.42	NA	NA	116	3.07	51.7	NA	6.8	20.9	NA	NA	NA	NA	C4.4:F3.3(3) C4.4:B3.3(5)	F	71	4	5
A063618351	27	146	13	102	1.95	94	NA	3.74	1.66	0.51	2.75	NA	127	2.96	47.7	0.4	7.5	20	439	spring	4	2004	G5.4:B2.3(7) G5.4:F5.3(4)	F	64	4	2
A063619116	26.9	108	32	120	1.99	90	20	12.8	1.45	0.59	NA	NA	123	3.55	50.9	0.59	8.3	25.3	411	spring	3	2004	E5.4:H3.3(6) E5.4:D3.3(6)	M	66	5	2
A063619274	25.9	168	35	87	2.02	96	19	NA	NA	0.57	NA	NA	131	3.17	49.8	0.46	4.7	23.8	431	spring	3	2004	F2.5:A4.4(2) F2.5:E2.4(4)	M	64	4	1
A063619860	27.3	126	28	63	2.31	108	19	8.42	2.06	0.36	2.31	NA	147	2.97	49.4	0.43	7.2	27.8	452	spring	4	2004	H3.4:C2.3(4) H3.4:G3.3(4)	M	71	5	4
A063621256	29.6	122	14	75	2.32	103	23	NA	1.75	0.49	NA	NA	146	3.17	NA	0.49	7.5	30	403	winter	2	2004	E2.5:H2.4(3) E2.5:D3.4(3)	M	63	6	1
A063621336	31.7	138	22	104	2.05	100	19	8.01	1.4	0.53	NA	NA	137	3.45	56.5	0.27	7.5	26.6	411	spring	3	2004	A4.4:D3.3(4) A4.4:H2.3(3)	M	66	4	2
A063622326	31.6	127	12	105	1.99	96	19	9.63	1.14	0.28	2.17	NA	130	2.45	51.3	0.28	9	19.7	257	autumn	10	2003	H2.3:C5.2(3) H2.3:G2.2(3)	F	67	6	5
A063623288	30	141	27	149	1.94	92	NA	12.02	1.18	0.33	NA	NA	123	3.34	49.5	NA	6.3	18.1	432	spring	3	2004	B1.5:E1.4(4) B1.5:A1.4(5)	F	62	6	2
A063623891	24.6	119	17	81	2.02	95	18	8.96	1.6	0.5	NA	NA	131	2.92	45.2	0.28	10.6	25.1	439	spring	4	2004	UnknownFather1 UnknownMother1	M	63	4	1
A063625788	24.3	118	25	77	2.06	95	22	11.48	2.2	0.4	2.48	NA	129	3.53	47	0.47	6.9	26.8	424	spring	3	2004	C4.4:F3.3(3) C4.4:B3.3(5)	M	63	6	4
A063626582	23.1	75	22	174	2.15	99	18	8.51	NA	NA	2.51	NA	139	NA	NA	NA	6.5	28.5	403	winter	2	2004	B2.4:E3.3(3) B2.4:A1.3(4)	M	66	6	4
A063629895	28	126	11	100	2.05	95	18	8.07	1.21	0.48	2.49	NA	131	2.47	46.3	0.15	7	24.3	509	summer	6	2004	D5.4:G2.3(4) D5.4:C4.3(4)	F	74	6	3
A063630059	30.7	187	24	84	2.37	107	22	7.52	1.51	0.44	3.48	9.2	147	2.43	NA	0.7	8.3	21.1	278	autumn	10	2003	A2.4:D4.3(2) A2.4:H1.3(3)	F	65	6	1
A063630303	28.8	100	26	80	2.17	104	NA	9.54	1.9	0.36	2.79	NA	139	3.29	51.3	NA	5.2	26.1	382	winter	2	2004	E5.4:H3.3(6) E5.4:D3.3(6)	M	63	6	1
A063630607	31.1	116	16	205	1.82	87	NA	12.22	1.02	0.38	2.93	NA	118	3.18	47.2	NA	6.6	19	383	winter	2	2004	H2.4:C1.3(3) H2.4:G2.3(2)	F	64	4	4
A063632089	26.2	42	16	81	1.94	91	19	7.29	1.55	0.4	NA	NA	125	3.41	NA	0.39	6.6	28.6	403	winter	2	2004	B2.4:E3.3(3) B2.4:A1.3(4)	M	66	6	4
A063632293	32.2	47	17	106	1.95	87	NA	11.14	1.76	0.42	2.13	NA	119	4.02	53.7	1.43	4.8	23.4	333	winter	12	2003	F5.4:A4.3(6) F5.4:E5.3(5)	M	67	7	1
A063632875	30.3	167	11	68	2.21	99	22	13.86	1.98	0.45	2.31	NA	136	3.38	51.7	0.42	7.5	28.1	382	winter	2	2004	H2.4:C1.3(3) H2.4:G2.3(2)	M	63	5	4
A063634356	24.3	127	18	70	1.91	92	NA	7.78	1.29	0.29	NA	NA	129	2.42	45.5	0.47	6.6	28.9	431	spring	3	2004	G2.5:B1.4(4) G2.5:F4.4(2)	M	63	6	2
A063635803	23.9	68	23	276	1.69	91	19	6.29	2.02	0.33	2.58	NA	120	3.89	44.9	0.16	7.2	25.3	501	summer	6	2004	G4.5:B5.4(4) G4.5:F5.4(4)	M	76	5	1
A063636061	30.8	143	51	191	2.17	109	18	9.38	2.16	0.34	2.91	NA	147	3.33	52.1	0.37	8.8	28.7	361	winter	1	2004	H1.4:C2.3(2) H1.4:G1.3(2)	M	82	5	4
A063637123	25.6	145	21	86	2.09	98	20	12.59	1.66	0.38	2	NA	135	2.76	49.9	0.67	7.6	24.8	424	spring	3	2004	C1.5:F2.4(3) C1.5:B1.4(3)	M	60	6	2
A063638108	30.6	151	26	106	2.08	93	NA	5.21	1.62	0.46	NA	NA	125	3.34	51.7	NA	9.7	21.7	439	spring	4	2004	G5.4:B2.3(7) G5.4:F5.3(4)	F	64	4	2
A063768029	27.8	157	25	105	2.21	105	23	9.25	1.5	0.26	2.1	NA	141	2.21	47.7	0.39	8.2	24.2	256	autumn	10	2003	H2.3:C5.2(3) H2.3:G2.2(3)	M	66	2	5
A063768269	29.5	141	21	88	2.09	92	19	11.06	1.33	0.49	2.27	NA	129	3.02	49.2	0.19	7.2	24.2	495	spring	5	2004	A5.5:D5.4(3) A5.5:H4.4(4)	F	71	4	1
A063769277	28.9	140	25	90	2.28	108	19	10.69	1.45	0.28	NA	NA	146	2.23	50.1	0.41	8.9	26.5	452	spring	4	2004	F3.5:A4.4(3) F3.5:E4.4(3)	M	70	5	1
A063770090	24.7	125	19	80	2.01	98	NA	10.46	0.99	0.25	2.02	NA	130	1.95	44	0.27	5.7	17.7	432	spring	3	2004	B1.5:E1.4(4) B1.5:A1.4(5)	F	62	6	2
A063770277	24.7	86	24	78	1.93	92	NA	13.17	1.09	0.51	2.13	NA	127	2.43	45.7	0.23	7.4	24	487	spring	5	2004	E5.4:H3.3(6) E5.4:D3.3(6)	M	71	4	5
A063771357	31.4	71	NA	197	1.79	90	NA	7.49	0.83	0.48	NA	NA	121	3.54	51.7	NA	5.8	21	257	autumn	10	2003	E2.3:H2.2(3) E2.3:D4.2(2)	F	68	6	4
A063772262	26	118	76	339	2.04	98	21	9.39	1.31	0.24	2.42	NA	130	2.22	43.7	0.34	8.6	22.4	418	spring	3	2004	H3.4:C2.3(4) H3.4:G3.3(4)	F	66	4	3
A063772352	30.7	186	23	161	1.99	93	18	13.5	1.14	0.41	2.54	NA	126	2.83	53.3	0.1	6.6	20.4	418	spring	3	2004	H1.5:C4.4(1) H1.5:G2.4(3)	F	65	4	1
A063772894	22	121	9	70	1.98	92	18	NA	1.27	0.29	NA	NA	122	2.26	41.5	0.67	7.4	27.3	411	spring	3	2004	F1.5:A1.4(5) F1.5:E2.4(3)	M	66	4	1
A063773074	28.5	142	27	246	1.94	95	NA	10.23	1.32	0.4	2.61	NA	128	2.89	47.3	0.11	10	19.5	383	winter	2	2004	A4.4:D3.3(4) A4.4:H2.3(3)	F	64	3	1
A063773299	32.9	129	NA	163	1.85	87	18	5.9	NA	NA	3.07	NA	119	NA	51.7	NA	7.1	22.3	404	winter	2	2004	B4.4:E4.3(4) B4.4:A3.3(3)	F	66	4	1
A063773367	29.5	152	24	95	2.23	104	20	7.21	NA	0.4	2.8	NA	145	2.87	52.4	0.36	8.1	27.2	417	spring	3	2004	B3.5:E4.4(2) B3.5:A3.4(4)	M	63	4	1
A063775561	33	121	17	108	2	96	19	9.98	1.35	0.44	2.89	NA	127	3.14	56	NA	5.9	21.2	257	autumn	10	2003	H2.3:C5.2(3) H2.3:G2.2(3)	F	67	6	5
A063775856	26.5	87	18	NA	1.74	90	NA	4.72	0.61	0.3	2.71	NA	117	2.6	42.5	0.16	5.7	16.7	467	spring	4	2004	B1.5:E1.4(4) B1.5:A1.4(5)	F	70	4	3
A063777011	32.6	132	NA	NA	1.67	84	19	5.29	0.67	0.47	2.47	NA	113	3.56	52.1	NA	7.4	18.4	425	spring	3	2004	E3.4:H2.3(4) E3.4:D4.3(3)	F	69	6	1
A063777532	32.7	93	30	119	2.12	97	19	10.52	1.49	0.5	2.26	NA	133	3.56	55.8	0.69	8.6	26.7	452	spring	4	2004	F3.5:A4.4(3) F3.5:E4.4(3)	M	70	5	1
A063778259	NA	169	13	NA	2.07	92	NA	10.01	NA	NA	2.49	NA	129	NA	NA	NA	7.9	22.8	271	autumn	10	2003	H2.4:C1.3(3) H2.4:G2.3(2)	F	65	5	1
A063779516	28.8	140	17	77	1.97	93	NA	5.19	0.98	0.35	2.85	NA	126	2.34	48.5	0.24	7.8	17.2	NA	NA	NA	NA	G1.5:B5.4(5) G1.5:F5.4(5)	F	71	5	1
A063779838	28.5	138	8	139	1.9	86	NA	10.27	0.75	0.36	2.94	NA	117	2.62	48.7	0.21	5.9	20.7	411	spring	3	2004	E5.4:H3.3(6) E5.4:D3.3(6)	F	67	6	2
A063782374	32.2	165	26	105	2.02	90	19	11.19	2.21	0.57	2.3	NA	127	4.35	55.1	0.24	9.6	20.5	425	spring	3	2004	G3.4:B5.3(3) G3.4:F4.3(3)	F	70	4	2
A063784615	28	189	32	114	2.3	101	20	13.26	1.41	0.49	2.82	NA	139	2.44	48.8	0.63	8	23	432	spring	3	2004	E5.4:H3.3(6) E5.4:D3.3(6)	F	62	3	3
